user_id,favorite_subjects
499,Corrupt Practices
500,Christian
500,Fiction
500,General
503,Large Type Books
503,Fiction
503,Social Life And Customs
505,Fiction
505,Romance
505,General
507,Fiction
507,Large Type Books
507,Juvenile Fiction
508,Contemporary
508,Fiction
508,Romance
512,Actresses
512,Fiction
512,Large Type Books
513,Collections Anthologies
513,Fiction
513,Horror
523,Adult
523,American
523,American Fiction Fictional Works By One Author
530,Bear
530,Eskimos
530,Fiction
537,City And Town Life
537,Corrupt Practices
537,Detective And Mystery Stories
538,Contemporary
538,Fiction
538,General
542,Children Grades 3-4
542,Detective And Mystery Stories
542,Fiction
546,[NO_SUBJECT]
558,African American Police
558,African Americans
558,Alex Fictitious Character
565,Capital Punishment
565,Detective And Mystery Stories
565,Fiction
566,Fiction
566,Contemporary
566,Country Homes
567,Classic Literature
567,Fiction
567,General
585,1991-1995
585,Fiction
585,History
592,Biography
592,Gay Men -- Fiction
592,Lambda Literary Award Winner
595,Fiction
595,Romance
595,General
596,Fiction
596,General
596,Artist
614,[NO_SUBJECT]
618,20Th Century
618,Aspect Religieux
618,Christian Ethics
619,Fiction
619,General
619,Large Type Books
620,Fiction
620,East Indians
620,Fiction Fictional Works By One Author
625,Fiction
625,Biography
625,Long Now Manual For Civilization
626,1775-1817
626,19Th Century
626,20Th Century
628,Cousin
628,Domestic Fiction
628,English Literature -- History And Criticism
638,Fiction
638,General
638,Large Type Books
639,Fiction
639,General
639,Historical
640,Classic Literature
640,Detective And Mystery Stories
640,England
641,Brothers And Sisters
641,English Humorous Stories
641,Family
643,Fiction
643,General
643,Short Stories
649,Family Life
649,Fiction
649,General
650,Americans
650,Americans In Fiction
650,Fiction
651,Fiction
651,General
651,Juvenile Fiction
657,Brainwashing
657,Child Sexual Abuse
657,Detective And Mystery Stories
660,Belletristische Darstellung
660,Bildungsromans
660,Boys
677,English Literature -- History And Criticism
677,Fantastic Fiction
677,Fantasy
678,Fiction
678,Large Type Books
678,1961-1975
683,American Love Stories
683,American Romance Fiction
683,Anglais Langue
685,Fiction
685,Audiobooks
685,Camping
695,Fiction
695,General
695,Brainwashing
698,College Student Orientation
698,Conspiracies
698,Curricula
705,[NO_SUBJECT]
707,Collections Anthologies
707,Detective And Mystery Stories
707,English Detective And Mystery Stories
708,Fiction
708,Fiction Fictional Works By One Author
708,Historical
709,Fiction
709,Juvenile Fiction
709,Science Fiction
711,Diary Fiction
711,England
711,English Literature -- History And Criticism
712,Americans
712,Crime
712,Detective And Mystery Stories
713,1939-1945
713,Activity Programs
713,Atrocities
714,Fiction
714,Horror
714,American Horror Tales
717,Contemporary
717,English Literature -- History And Criticism
717,Fantasy
726,Fiction
726,History
726,Britons
728,1980-
728,20Th Century
728,Action Adventure
730,Anthropologists
730,Biography
730,Case Studies
735,Fiction
735,Large Type Books
735,Romance
739,Character
739,Literature
741,Fiction
741,General
741,Literature
743,American Fiction
743,American Humorous Stories
743,Artist
744,Fiction
744,General
744,Romance
746,Fiction
746,Juvenile Fiction
746,Boys
753,Fiction
753,History
753,United States
756,Boston Mass
756,Fiction
756,Holistic Medicine
757,California
757,Crime
757,Detective And Mystery Stories
758,British And Irish Fiction Fictional Works By One Author
758,Classic Literature
758,England
759,Belletristische Darstellung
759,English Literature -- History And Criticism
759,Fantasy Fiction
763,Fiction
763,General
763,Literature
765,Author
765,Fiction
765,General
767,Alaska
767,Artistic
767,Description And Travel
769,Belletristische Darstellung
769,Chang Pian Xiao Shuo
769,Continental European Fiction
771,Fantasy
771,Fiction
771,General
774,Amiti
774,Biography
774,Canada
776,Fiction
776,General
776,Short Stories
777,Fiction
777,Juvenile Fiction
777,Boarding Schools
778,Detective And Mystery Stories
778,Fiction
778,General
780,Community Life
780,Fiction
780,General
782,[NO_SUBJECT]
785,Domestic Fiction
785,Dysfunctional Families
785,Family
786,Antiquities
786,Contemporary
786,Fiction
790,1939-1945
790,Americans
790,Fiction
805,Fiction
805,General
805,Literature
811,[NO_SUBJECT]
818,Achievement
818,Applied
818,Applied Psychology
819,African American Police
819,African Americans
819,Alex Fictitious Character
822,Biography
822,Great Britain
822,Nonfiction -- Juvenile Literature
824,81354
824,Adolescence
824,Adolescent
827,Fiction
827,Juvenile Fiction
827,Large Type Books
828,Education
828,Literacy
828,Long Now Manual For Civilization
834,81354
834,Adolescence
834,Adolescent
835,[NO_SUBJECT]
843,Fiction
843,General
843,Chile
850,Fiction
850,Fantasy
850,General
853,Fiction
853,General
853,British And Irish Fiction Fictional Works By One Author
878,Biography
878,Dog
878,Rescue Work
882,Fiction
882,General
882,Large Type Books
883,Bildungsromans
883,Biography
883,Canada
885,Adultery
885,American Fiction Fictional Works By One Author
885,Classic Literature
886,American Poetry
886,Assassination
886,Continental European Fiction
887,Fiction
887,General
887,London England
895,Collectionidst
895,Fiction
895,Interplanetary Voyages
896,19Th Century
896,Aging
896,British And Irish Drama Dramatic Works By One Author
899,Fiction
899,New York Times Bestseller
899,Alchemy
900,Fiction
900,General
900,Conflict Of Generations
901,History
901,Large Type Books
901,Translations Into English
902,Betrayal
902,Case Studies
902,Crime
903,Alcoholics
903,Authors
903,Biographical
913,1805 English Literature
913,Edinburgh Scotland
913,Erotica
914,Juvenile Fiction
914,Fiction
914,Animals
915,Action Adventure
915,Adventure Fiction
915,Adventure Stories
916,[NO_SUBJECT]
919,American Fiction Fictional Works By One Author
919,Atomic Bomb
919,Audiobooks
921,Fiction
921,General
924,[NO_SUBJECT]
929,Fiction
929,Reading Level-Grade 11
929,Reading Level-Grade 12
933,Biography
933,Drug Dealers
933,Drug Traffic
936,American Fiction
936,Ficcin
936,Fiction
938,Bildungsromans
938,British
938,Coming Of Age
941,Abortion
941,American Fiction Fictional Works By One Author
941,Fiction
951,Biography
951,Chemistry
951,Childhood And Youth
965,
965,Document
965,Erlebnisbericht
969,Abortion
969,Fiction
969,Interpersonal Relations
973,Anecdotes
973,Blessing And Cursing
973,Jewish Families
984,Fiction
984,Historical
984,Regency
998,[NO_SUBJECT]
999,Angels
999,Contemporary
999,End Of The World
1003,Administration Of Criminal Justice
1003,Computer Networks
1003,Corporations
1008,81354
1008,Bible
1008,Fiction
1009,Fiction
1009,Detective And Mystery Stories
1009,Florida
1010,Action Adventure
1010,Adventure Stories
1010,Detective And Mystery Stories
1016,Boston Mass
1016,Cloning
1016,Fiction
1019,Fiction
1019,General
1019,Romance
1021,Fiction
1021,Large Type Books
1021,Africa
1022,African American Men
1022,African Americans
1022,Death Row Inmates
1024,1000Blackgirlbooks
1024,African Americans
1024,Allegories
1025,Fiction
1025,General
1025,Open Library Staff Picks
1026,Fiction
1026,Historical
1026,Historical Fiction
1031,Crimes Against
1031,Detective And Mystery Stories
1031,Fiction
1032,Family
1032,Fiction
1032,Coming Of Age
1038,Adventure Stories
1038,Books And Reading
1038,Courage
1040,Awardnationalbookawardfiction
1040,Domestic Fiction
1040,Education
1046,Drug Addiction
1046,Drug Addicts
1046,Edinburgh Scotland
1048,
1048,1939-1945
1048,Christian Biography
1054,Detective
1054,Detective And Mystery Stories
1054,Fiction
1056,[NO_SUBJECT]
1057,England
1057,Fiction
1057,General
1060,Contemporary
1060,Department Stores
1060,Fiction
1063,Fiction
1063,Humor
1063,Juvenile Fiction
1075,Fiction
1075,General
1075,Ficcin
1079,Dream Interpretation
1082,Anecdotes
1082,Literary Collections
1082,Mother
1083,Fiction
1083,Short Stories
1083,Action Adventure
1087,Astronaut
1087,Biography
1087,Coincidence
1093,Action Adventure
1093,Americans
1093,Fiction
1094,Juvenile Fiction
1094,Science Fiction
1095,Actors
1095,Biographie
1095,Biography
1096,Juvenile Fiction
1096,African Americans
1096,Biography
1098,Family
1098,Fiction
1098,Literature
1106,Belletristische Darstellung
1108,American Christmas Stories
1108,Christian
1108,Christian Life
1111,Attitudes
1111,Detective And Mystery Stories
1111,Drama
1113,Coming Of Age
1113,Fiction
1113,Friendship
1116,Fiction
1116,Thriller Fiction
1116,General
1118,Fiction
1118,Action Adventure
1118,Adventure
1123,Fiction
1123,Adventure Stories
1123,General
1124,Fiction
1124,General
1124,Girls
1129,Fiction
1129,General
1129,Literature
1131,Fiction
1131,Large Type Books
1131,General
1133,Detective And Mystery Stories
1133,Fiction
1133,General
1137,19Th Century
1137,20Th Century
1137,Action Adventure
1140,Domestic Fiction
1140,Fiction
1140,General
1150,19Th Century
1150,Action Adventure
1150,Adventure Stories
1155,Fiction
1155,Cuentos De Terror
1155,Ficcin
1161,Capitalism
1161,Indian Philosophy
1161,Indians Of North America
1164,Aristocracy Social Class
1164,British And Irish Drama Dramatic Works By One Author
1164,British And Irish Fiction Fictional Works By One Author
1166,Death
1166,Fiction
1166,Future Life
1167,Fiction
1167,General
1167,Large Type Books
1169,Fiction
1169,General
1169,American Fiction Fictional Works By One Author
1172,[NO_SUBJECT]
1174,Evolution
1178,Fiction
1178,Emigration And Immigration
1178,Sisters
1180,Action Adventure
1180,Fiction
1180,Reading Level-Grade 10
1184,Fiction
1184,California
1184,Detective And Mystery Stories
1192,Fiction
1192,General
1192,Historical
1200,Adolescent Girls
1200,Aids Disease
1200,Biography
1206,1939-1945
1206,Fiction
1206,French Language Materials
1210,Biography
1210,Description And Travel
1210,Fiction
1211,Fiction
1211,General
1211,Large Type Books
1214,Accelerated Reader
1214,Birthday
1214,Brother
1219,Fiction
1219,Detective And Mystery Stories
1219,Mystery
1223,Adventure Fiction
1223,Colorado
1223,Fantasy Fiction
1234,[NO_SUBJECT]
1235,Fiction
1235,General
1235,Detective And Mystery Stories
1242,American Humorous Stories
1242,Detective
1242,Detective And Mystery Stories
1248,Fiction
1248,General
1248,Literature
1249,Detective And Mystery Stories
1249,Fiction
1249,Large Type Books
1250,Fiction
1250,Identity Psychology
1250,Literature
1252,Castles
1252,Coming Of Age
1252,Diary
1254,American Fiction
1254,Ficcin
1254,Fiction
1258,American Fantasy Fiction
1258,Circus
1258,Clergymen
1259,Alchemy
1259,Body
1259,Fables
1260,[NO_SUBJECT]
1261,Large Type Books
1261,Fiction
1261,General
1262,General
1262,Audiobooks
1262,Biography
1263,Adultery
1263,Erotica
1263,Fiction
1264,1939-1945
1264,Activity Programs
1264,Atrocities
1266,Action Adventure
1266,British And Irish Fiction Fictional Works By One Author
1266,Elf
1267,Abandoned Children
1267,British Columbia
1267,Diplomatic Relations
1279,19Th Century
1279,African Americans
1279,Authors
1281,Domestic Fiction
1281,Entertaining
1281,Ficcin
1293,
1293,African Americans
1293,American Fiction
1294,Fiction
1294,General
1294,Detective And Mystery Stories
1296,American Wit And Humor
1296,Humor
1296,Pictorial
1297,Biography
1297,Catholic Church
1297,Chinese
1309,Fiction
1309,Thrillers
1309,Detective And Mystery Stories
1314,1939-1945
1314,Bars Drinking Establishments
1314,Belletristische Darstellung
1324,American
1324,American Humorous Stories
1324,Behavior Modification
1330,Detective And Mystery Stories
1330,Father-Daughter Relationships
1330,Fiction
1331,American Fiction Fictional Works By One Author
1331,Fiction
1331,Biographers
1343,Great Britain
1343,Large Type Books
1343,English
1344,Fiction
1344,General
1344,Vampires
1348,1939-1945
1348,Battle Of
1348,Great Britain
1355,Alternative Medicine
1355,Mind And Body
1359,Adventure
1359,Adventure Stories
1359,Allegories
1360,Fiction
1360,General
1360,Historical
1361,Conduct Of Life
1361,Didactic Fiction
1361,Ficcin
1368,Fiction
1368,General
1368,Detective And Mystery Stories
1369,[NO_SUBJECT]
1372,Religion
1372,Ritual
1372,20Th Century
1375,Aids Disease
1375,Death
1375,Family Relationships
1376,Fiction
1376,Large Type Books
1376,Adventure Stories
1377,American Fiction
1377,Brazil
1377,Death
1389,Audiobooks
1389,Detective And Mystery Stories
1389,Ficcin
1395,Action Adventure
1395,Astronaut
1395,Fiction
1396,20Th Century
1396,American
1396,American Authors
1399,Fiction
1399,Detective And Mystery Stories
1399,Juvenile Fiction
1403,Epic
1403,Fantasy
1403,Fantasy Fiction
1409,Fiction
1409,Large Type Books
1409,Romance
1410,Contemporary
1410,Employee
1410,Fiction
1412,Fiction
1412,General
1412,Ficcin
1417,American Authors
1417,American Fiction
1417,Author
1421,
1421,Criticism
1421,Emperors
1424,Fiction
1424,General
1424,History
1427,Alchemy
1427,Body
1427,Fables
1433,Contemporary
1433,Fiction
1433,General
1434,Africa
1434,Americans
1434,Baptists
1435,Fiction
1435,General
1435,Large Type Books
1436,Fiction
1436,General
1436,Dutch Fiction
1439,Collections Anthologies
1439,Diary
1439,English
1442,Classic Literature
1442,Continental European Fiction
1442,Fiction
1448,Alex Fictitious Character
1448,Delaware
1448,Detective And Mystery Stories
1455,Alternative History
1455,Fiction
1455,General
1461,Capitalism
1461,Essay
1461,Philosophy
1466,Germany
1467,Fiction
1467,Historical
1467,History
1473,History
1473,Information Technology
1473,Social Aspects
1475,[NO_SUBJECT]
1484,Diary
1484,English
1484,Fiction
1485,20Th Century
1485,British And Irish Fiction Fictional Works By One Author
1485,Detective And Mystery Stories
1486,Adventure Fiction
1486,Adventure Stories
1486,Alaska
1489,Accident
1489,Biography
1489,History
1491,Adaptations
1491,Chinese
1491,Chinese Language
1496,Guidebooks
1499,Physical Fitness
1499,Reducing Diets
1499,Self-Actualization Psychology
1500,College Stories
1500,College Students
1500,College Teachers
1504,Action Adventure
1504,American Fiction
1504,Amusement Parks
1505,Fiction
1505,Government Investigators
1505,Action Adventure
1511,Fiction
1511,General
1511,Action Adventure
1513,Awardnationalbookawardfiction
1513,Domestic Fiction
1513,Education
1515,81354
1515,Adolescence
1515,Adolescent
1517,Fiction
1517,History
1517,Dating Social Customs
1519,Action Adventure
1519,Detective And Mystery Stories
1519,Fiction
1530,American Fiction
1530,Arkansas
1530,Baseball Stories
1535,Fiction
1535,General
1535,20Th Century
1539,Affirmations
1539,Conduct Of Life
1539,Etc.
1548,Fiction
1548,General
1548,Juvenile Fiction
1550,Architecture
1550,Art
1550,Biography
1554,Fiction
1554,Adventure Stories
1554,Awardnewberyaward
1556,[NO_SUBJECT]
1557,Discworld Imaginary Place
1557,English Literature -- History And Criticism
1557,Fantasy
1558,Fiction
1558,Large Type Books
1558,General
1559,Conflict Of Generations
1559,Family
1559,Fiction
1570,British And Irish Fiction Fictional Works By One Author
1570,English Literature -- History And Criticism
1570,Fiction
1578,Action Adventure
1578,Adventure
1578,Christian Life
1582,Comics Graphic Novels
1582,East Asian Style
1582,Fantasy
1583,Goddess
1583,Mythology
1583,New York Times Book Reviews
1585,Fiction
1585,Large Type Books
1585,General
1586,Caricatures
1586,Child And Youth Fiction
1586,Comic Books
1589,Detective And Mystery Stories
1589,Ex-Police Officers
1589,Fiction
1591,Fantasy
1591,Fiction
1591,France
1596,Fiction
1596,City And Town Life
1596,General
1597,Bildungsromans
1597,Fantasy
1597,Fiction
1599,[NO_SUBJECT]
1608,Fiction
1608,General
1608,Large Type Books
1615,[NO_SUBJECT]
1616,1961-1975
1616,Fiction
1616,General
1617,Fiction
1617,General
1617,Biographical Fiction
1619,Detective And Mystery Stories
1619,Fiction
1619,Large Type Books
1633,American Science Fiction
1633,Fiction
1633,General
1639,Emigration And Immigration
1639,Family
1639,Family Life
1641,Action Adventure
1641,Clairvoyance
1641,Didactic Fiction
1650,Asian Americans
1650,California
1650,Chinese Americans
1652,Fiction
1652,General
1652,Ficcin
1653,Americans
1653,Americans In Fiction
1653,Businessmen
1654,1939-1945
1654,Air Pilots
1654,Aunts
1660,Fiction
1660,Thrillers
1660,Thriller Fiction
1667,Allegories
1667,American Fiction
1667,American Fiction Fictional Works By One Author
1673,Social Aspects
1674,Fiction
1674,General
1674,Short Stories
1683,Fiction
1683,General
1683,Romance
1684,Canada
1684,Fiction
1684,Foster Home Care
1688,Large Type Books
1688,Fiction
1688,General
1696,Buddhism
1696,Classic Literature
1696,Classics
1706,Fiction
1706,General
1706,Fantasy
1718,Contemporary
1718,Fiction
1718,General
1719,Fiction
1719,General
1719,Detective And Mystery Stories
1721,English Literature -- History And Criticism
1721,Fiction
1721,Fiction In English
1723,Human Anatomy
1723,Juvenile Fiction
1723,Physiology
1725,Fiction
1725,General
1725,Science Fiction
1730,Body Image
1730,British
1730,California
1733,Fiction
1733,General
1733,Romance
1745,Adventure Fiction
1745,Cold War
1745,Fiction
1759,Child Abuse
1759,Family
1759,Fiction
1761,[NO_SUBJECT]
1762,[NO_SUBJECT]
1768,Coming Of Age
1768,Fiction
1768,Friendship
1773,Asian Americans
1773,California
1773,Chinese Americans
1775,Adventure Stories
1775,Awardnewberyaward
1775,Etc.
1782,[NO_SUBJECT]
1785,[NO_SUBJECT]
1790,Fiction
1790,American Fiction Fictional Works By One Author
1790,General
1791,Fantasy
1791,Fiction
1791,General
1792,Anecdotes
1792,Athletes
1792,Caricatures
1797,England
1797,England In Fiction
1797,Fiction
1799,[NO_SUBJECT]
1802,English Fiction
1802,Fiction
1802,Western Stories
1803,Adventure Fiction
1803,American Fiction
1803,Appreciation
1805,Fiction
1805,Ficcin
1805,Large Type Books
1807,1805 English Literature
1807,1990S
1807,American
1812,Reading Level-Grade 11
1812,Reading Level-Grade 12
1812,Fiction
1813,Fiction
1813,Florida
1813,General
1829,Amsterdam Netherlands
1829,Artist
1829,Fiction
1830,Fiction
1830,General
1830,Historical
1835,[NO_SUBJECT]
1838,Fiction
1838,General
1838,Action Adventure
1841,Detective And Mystery Stories
1841,Fiction
1841,Florida
1844,[NO_SUBJECT]
1846,Belletristische Darstellung
1846,Fiction
1846,Pianist
1848,Fiction
1848,General
1848,Literature
1850,Ficcin Juvenil
1850,Fiction
1850,Juvenile Fiction
1859,Fiction
1859,General
1859,Historical
1863,Detective And Mystery Stories
1863,England
1863,Fiction
1869,Fiction
1869,General
1869,Action Adventure
1878,[NO_SUBJECT]
1881,Alex Fictitious Character
1881,Detective And Mystery Stories
1881,Fiction
1888,Biography
1888,Employee
1888,Government Employees
1891,Christian Women
1891,Devotional Calendars
1891,Devotional Exercises
1892,Description And Travel
1892,Hiking
1892,Journeys
1898,Large Type Books
1898,Nonfiction -- Juvenile Literature
1898,American
1900,Conduct Of Life
1900,Devotional Calendars
1900,Family Relationships
1901,Capital Punishment
1901,Death Row Inmates
1901,Detective And Mystery Stories
1903,Fiction
1903,Open Library Staff Picks
1903,General
1905,American Science Fiction
1905,Awardnebulaawardnovel
1905,Brains
1910,Crime
1910,Detective And Mystery Stories
1910,England
1915,California
1915,Fiction
1915,Large Type Books
1918,Fantasy
1918,Fiction
1918,General
1923,Fiction
1923,Humor
1923,Social Life And Customs
1928,Fiction
1928,Adolescentes
1928,American Fiction
1933,Coming Of Age
1933,Fiction
1933,Friendship
1937,Fiction
1937,Friendship
1937,General
1945,Austria
1945,Biography
1945,General
1947,Asian Americans
1947,California
1947,China
1949,Detective And Mystery Stories
1949,Fiction
1949,Forensic Pathologists
1951,Fiction
1951,General
1951,Romance
1954,1947-
1954,Fiction
1954,General
1956,Elections
1956,History
1956,Interviews
1961,Fantasy Fiction
1966,Fiction
1966,Guides
1966,James
1971,Americans
1971,Fiction
1971,General
1973,[NO_SUBJECT]
1978,Detective And Mystery Stories
1978,Fiction
1978,Florida
1983,Angels
1983,Contemporary
1983,End Of The World
1984,Belletristische Darstellung
1984,Recherche
1989,Boys
1989,Fiction
1989,General
1990,Civilization
1990,Antiquities
1990,Excavations Archaeology
1993,[NO_SUBJECT]
1995,Description And Travel
1995,Descriptions Et Voyages
1995,Early Works To 1800
1996,Fiction
1996,Gender Identity
1996,General
2009,Juvenile Fiction
2009,Department Stores
2009,Fairies
2010,Fiction
2010,General
2010,Large Type Books
2012,Fiction
2012,General
2012,Open Library Staff Picks
2018,College Teachers
2018,Ficcin
2018,Fiction
2019,African American Girls
2019,Assassination
2019,Attorney And Client
2024,Homosexuality
2024,Lgbtq History
2024,Gay Men -- Fiction
2030,Fiction
2030,General
2030,Literature
2033,Fiction
2033,Fantasy
2033,General
2035,1000Blackgirlbooks
2035,Adventure Stories
2035,Black People
2036,Fiction
2036,General
2036,Conduct Of Life
2038,Biography
2038,Jews
2038,Judaism
2041,Fiction
2041,General
2041,Large Type Books
2043,Cloning
2043,Fiction
2043,Immortalism
2045,Computer Networks
2045,Computers And Civilization
2045,Internet
2046,Fiction
2046,Romance
2046,General
2060,Fiction
2060,Historical
2060,Large Type Books
2063,[NO_SUBJECT]
2066,Actors
2066,Biography
2070,British And Irish Fiction Fictional Works By One Author
2070,Continental European Fiction
2070,Fiction
2074,Ancient Civilization
2074,Curiosities
2074,Miscellanea
2075,Church History
2075,Continental European Fiction
2075,Detective And Mystery Stories
2076,Description And Travel
2076,History
2076,Journeys
2077,Cornwall England County
2077,Detective And Mystery Stories
2077,English Literature -- History And Criticism
2082,Fiction
2082,Juvenile Fiction
2082,Spring
2084,Fiction
2084,Action Adventure
2084,General
2089,81354
2089,Aged
2089,American Fiction
2090,Fiction
2090,General
2090,Historical
2097,Fiction
2097,General
2097,Large Type Books
2099,American Fiction
2099,Brazil
2099,Death
2103,Fiction
2103,General
2103,Death
2104,African American Authors
2104,African American Men
2104,African Americans
2105,Crimes Against
2105,Cruise Ships
2105,Detective And Mystery Stories
2106,Biografa
2106,Biography
2106,Books And Reading
2108,Audiobooks
2108,Detective And Mystery Stories
2108,Ficcin
2109,Detective And Mystery Stories
2109,Fiction
2109,General
2110,Fiction
2110,General
2110,Juvenile Fiction
2115,American
2115,American Fiction
2115,Fiction
2116,Attempted Murder
2116,Congress
2116,Corrupt Practices
2119,Contemporary
2119,Fiction
2119,Photographer
2127,81354
2127,Aged
2127,American Fiction
2129,Fiction
2129,Fiction In English
2129,General
2130,Computer Graphics
2130,Design
2130,Internet
2132,Fiction
2132,General
2132,Historical
2134,Cooking
2134,Conduct Of Life
